user_id,recency_days,frequency_count,total_monetary_spend,rfm_combined_code,customer_lifecycle_status
8635951.7155332526,6,6,484.0,111,HIBERNATING / LOST
16291219.8111422394,56,2,325.0,311,STANDARD CONVERTED CUSTOMER
7305312.0773204883,71,2,246.0,511,STANDARD CONVERTED CUSTOMER
12411444.0410367159,54,1,204.0,341,STANDARD CONVERTED CUSTOMER
68044065.2390765612,63,1,185.0,411,STANDARD CONVERTED CUSTOMER
44356964.3056281867,54,1,168.0,341,STANDARD CONVERTED CUSTOMER
38940697.0285959050,40,1,160.0,231,AT RISK - NEED RETENTION
27529375.1021066476,55,1,147.0,331,STANDARD CONVERTED CUSTOMER
25845532.1613251814,44,1,128.0,251,AT RISK - NEED RETENTION
12024949.0365738562,15,1,110.0,152,AT RISK - NEED RETENTION
6924972.3117240095,67,3,105.0,412,STANDARD CONVERTED CUSTOMER
80536550.4410904175,9,1,96.0,122,HIBERNATING / LOST
22419726.6739298007,52,1,92.0,342,STANDARD CONVERTED CUSTOMER
8350624.0488361089,11,1,85.0,152,AT RISK - NEED RETENTION
6948012.9754264018,48,1,83.0,332,STANDARD CONVERTED CUSTOMER
83122453.5394732985,42,2,82.0,212,STANDARD CONVERTED CUSTOMER
84080911.7958476288,16,1,80.0,142,AT RISK - NEED RETENTION
1750371.7249808647,47,1,79.0,322,STANDARD CONVERTED CUSTOMER
60554403.6518704294,47,1,79.0,332,STANDARD CONVERTED CUSTOMER
2113325.1940945017,54,2,64.0,313,STANDARD CONVERTED CUSTOMER
68075284.5240293543,42,1,59.0,243,AT RISK - NEED RETENTION
82865714.7704602382,79,1,55.0,513,STANDARD CONVERTED CUSTOMER
28054315.0309622522,19,1,55.0,133,AT RISK - NEED RETENTION
2490104.6468368280,81,1,50.0,513,STANDARD CONVERTED CUSTOMER
49499670.1702984658,44,1,50.0,243,AT RISK - NEED RETENTION
57239293.4773997184,82,1,44.0,543,STANDARD CONVERTED CUSTOMER
7248576.9056418159,51,1,44.0,313,STANDARD CONVERTED CUSTOMER
65547429.6412161315,51,1,44.0,353,STANDARD CONVERTED CUSTOMER
83794944.2381968800,50,1,40.0,344,STANDARD CONVERTED CUSTOMER
4791333.8597888638,47,1,40.0,354,STANDARD CONVERTED CUSTOMER
43084392.6309586985,41,1,40.0,244,AT RISK - NEED RETENTION
2502435.3548835289,23,1,38.0,244,AT RISK - NEED RETENTION
49456942.0436829148,28,1,34.0,214,STANDARD CONVERTED CUSTOMER
19492128.7016911946,26,2,27.0,214,STANDARD CONVERTED CUSTOMER
45473624.1023516518,89,1,27.0,524,STANDARD CONVERTED CUSTOMER
68340330.6218248479,66,1,25.0,444,CHAMPIONS / ELITE
77782481.6783148384,81,1,22.0,554,CHAMPIONS / ELITE
5187937.6738524538,53,1,22.0,354,STANDARD CONVERTED CUSTOMER
4406786.1288886842,52,1,22.0,354,STANDARD CONVERTED CUSTOMER
11422977.5445649055,44,1,19.0,245,AT RISK - NEED RETENTION
72227997.0657116551,53,1,14.0,355,STANDARD CONVERTED CUSTOMER
49767223.5352585859,5,1,0.0,145,AT RISK - NEED RETENTION
2167403.7906456200,41,2,580.0,211,STANDARD CONVERTED CUSTOMER
2418457.6264805451,31,3,183.0,211,STANDARD CONVERTED CUSTOMER
76814224.5351128373,9,1,109.0,112,HIBERNATING / LOST
60425733.9344537014,45,2,108.0,212,STANDARD CONVERTED CUSTOMER
3370196.0460875623,76,1,102.0,552,STANDARD CONVERTED CUSTOMER
4789616.5651606218,73,1,100.0,552,STANDARD CONVERTED CUSTOMER
26923382.2344097794,82,1,94.0,542,STANDARD CONVERTED CUSTOMER
28475030.0026516570,33,3,93.0,212,STANDARD CONVERTED CUSTOMER
23754938.4809580024,50,1,92.0,322,STANDARD CONVERTED CUSTOMER
26725725.4543798623,12,1,89.0,142,AT RISK - NEED RETENTION
37383357.2206535308,55,1,74.0,312,STANDARD CONVERTED CUSTOMER
7980854.4779699400,46,1,70.0,232,AT RISK - NEED RETENTION
5191278.7358335539,45,1,70.0,252,AT RISK - NEED RETENTION
42202949.1792651105,46,1,56.0,213,STANDARD CONVERTED CUSTOMER
25314370.6701468747,51,1,56.0,333,STANDARD CONVERTED CUSTOMER
1341255108.8994929707,49,1,50.0,313,STANDARD CONVERTED CUSTOMER
48028670.1890447028,61,1,46.0,443,STANDARD CONVERTED CUSTOMER
8058011.9985023895,54,1,46.0,323,STANDARD CONVERTED CUSTOMER
93790140.2924262721,62,2,43.0,413,STANDARD CONVERTED CUSTOMER
2847475.1550624346,53,1,38.0,334,STANDARD CONVERTED CUSTOMER
8726025.7712289207,40,1,36.0,224,STANDARD CONVERTED CUSTOMER
73788836.6647022716,53,1,25.0,314,STANDARD CONVERTED CUSTOMER
1407240.9536646342,58,1,20.0,415,STANDARD CONVERTED CUSTOMER
16155597.9846906900,50,1,16.0,355,STANDARD CONVERTED CUSTOMER
88609982.3067509014,52,1,14.0,355,STANDARD CONVERTED CUSTOMER
56979703.0000095038,19,1,14.0,155,AT RISK - NEED RETENTION
3718073.8242589031,81,1,12.0,525,STANDARD CONVERTED CUSTOMER
2817905.8623001125,55,1,0.0,355,STANDARD CONVERTED CUSTOMER
6212957.4551534885,3,1,0.0,155,AT RISK - NEED RETENTION
67242982.0432343274,46,3,423.0,211,STANDARD CONVERTED CUSTOMER
2314652.7895916826,64,1,270.0,451,STANDARD CONVERTED CUSTOMER
5820525.4112921353,68,1,248.0,441,STANDARD CONVERTED CUSTOMER
12152291.1519358530,64,1,165.0,421,STANDARD CONVERTED CUSTOMER
91274512.0451281678,54,1,152.0,321,STANDARD CONVERTED CUSTOMER
61090488.9613703457,11,1,130.0,151,AT RISK - NEED RETENTION
10828522.4098051399,68,1,126.0,421,STANDARD CONVERTED CUSTOMER
5501418.9433200969,9,1,111.0,132,AT RISK - NEED RETENTION
34976491.2114125776,76,1,98.0,522,STANDARD CONVERTED CUSTOMER
37858547.0848590713,49,2,95.0,312,STANDARD CONVERTED CUSTOMER
24006366.1954329758,66,1,89.0,442,STANDARD CONVERTED CUSTOMER
3508378.0798934557,11,1,88.0,132,AT RISK - NEED RETENTION
3297046.6509553424,91,0,87.0,552,STANDARD CONVERTED CUSTOMER
1016446.8237887674,41,1,86.0,222,STANDARD CONVERTED CUSTOMER
12980467.8586280455,52,1,85.0,342,STANDARD CONVERTED CUSTOMER
39965653.0318600367,66,1,73.0,422,STANDARD CONVERTED CUSTOMER
2554609494.2346657395,73,1,73.0,542,STANDARD CONVERTED CUSTOMER
78979530.8829741899,87,1,70.0,542,STANDARD CONVERTED CUSTOMER
6295459.5314511143,40,1,68.0,242,AT RISK - NEED RETENTION
1554450.8430552983,78,1,66.0,533,STANDARD CONVERTED CUSTOMER
1051154.0740172050,45,1,55.0,213,STANDARD CONVERTED CUSTOMER
67563681.8255702488,51,1,52.0,343,STANDARD CONVERTED CUSTOMER
19216505.5989680749,44,1,48.0,253,AT RISK - NEED RETENTION
8577405.9053970649,44,1,48.0,233,AT RISK - NEED RETENTION
75194502.2750916231,68,1,44.0,433,STANDARD CONVERTED CUSTOMER
34557263.4880284615,44,1,43.0,233,AT RISK - NEED RETENTION
9102715.4021885811,9,1,42.0,123,HIBERNATING / LOST
86522586.9268325271,40,1,40.0,224,STANDARD CONVERTED CUSTOMER
8633997.7206561612,48,1,38.0,324,STANDARD CONVERTED CUSTOMER
86241653.8282757080,50,2,35.0,314,STANDARD CONVERTED CUSTOMER
3641209645.6574548402,81,1,32.0,534,STANDARD CONVERTED CUSTOMER
5593077.5585824179,14,1,30.0,134,AT RISK - NEED RETENTION
65142264.5403230916,61,1,30.0,454,CHAMPIONS / ELITE
76702541.1934185664,82,1,30.0,554,CHAMPIONS / ELITE
28155107.4937647306,11,1,25.0,124,HIBERNATING / LOST
3178736.6661466531,67,1,20.0,445,CHAMPIONS / ELITE
44810382.7311730027,27,1,14.0,235,AT RISK - NEED RETENTION
3193748.4688093203,79,1,14.0,535,STANDARD CONVERTED CUSTOMER
37639821.8285333587,11,1,10.0,125,HIBERNATING / LOST
75336556.8734149504,24,1,8.0,225,STANDARD CONVERTED CUSTOMER
1631937.5426151197,3,1,0.0,155,AT RISK - NEED RETENTION
1617434.1535145542,0,1,0.0,125,HIBERNATING / LOST
48568013.6801171570,8,1,0.0,135,AT RISK - NEED RETENTION
48159916.2278332378,46,3,284.0,211,STANDARD CONVERTED CUSTOMER
33519070.9701128272,58,1,278.0,431,STANDARD CONVERTED CUSTOMER
36342934.1053894040,74,3,189.0,511,STANDARD CONVERTED CUSTOMER
5795144.5608491958,70,2,178.0,511,STANDARD CONVERTED CUSTOMER
8735747.5391513797,18,3,177.0,111,HIBERNATING / LOST
8839256339.1323107592,54,1,167.0,351,STANDARD CONVERTED CUSTOMER
7337320.6099359731,85,1,128.0,521,STANDARD CONVERTED CUSTOMER
27849359.1629027567,58,1,120.0,421,STANDARD CONVERTED CUSTOMER
63078466.0698615067,11,1,99.0,142,AT RISK - NEED RETENTION
80381756.0295134079,60,1,96.0,422,STANDARD CONVERTED CUSTOMER
3680421.4213771360,0,2,92.0,112,HIBERNATING / LOST
81444980.8487304711,89,1,88.0,542,STANDARD CONVERTED CUSTOMER
4491618.5629278395,57,1,86.0,342,STANDARD CONVERTED CUSTOMER
57813325.3678451216,51,1,82.0,352,STANDARD CONVERTED CUSTOMER
78124649.1656587707,78,1,80.0,512,STANDARD CONVERTED CUSTOMER
7653885.7449557450,69,1,74.0,442,STANDARD CONVERTED CUSTOMER
6471483.5221877990,60,1,73.0,432,STANDARD CONVERTED CUSTOMER
44050879.9039342218,54,1,72.0,322,STANDARD CONVERTED CUSTOMER
36185608.4688744734,78,1,64.0,533,STANDARD CONVERTED CUSTOMER
15485284.9465721193,58,1,63.0,423,STANDARD CONVERTED CUSTOMER
3344699.5675826086,12,1,60.0,113,HIBERNATING / LOST
44093840.8232543120,69,1,60.0,523,STANDARD CONVERTED CUSTOMER
4055961.2903422421,68,1,55.0,453,STANDARD CONVERTED CUSTOMER
4300488.4056873382,57,1,53.0,423,STANDARD CONVERTED CUSTOMER
