user_id,lifetime_value,source,medium,campaign
7221347.4127394632,298.0,google,organic,(organic)
34715004.0442654743,350.0,google,organic,(organic)
47512557.1077158577,231.0,(direct),(none),(direct)
5312155.7410092259,214.0,google,organic,(organic)
23188793.3504076068,272.0,google,organic,(organic)
3938933.9449134391,522.0,(direct),(none),(direct)
79509844.1081277926,522.0,google,organic,(organic)
4231038.0723891741,219.0,(data deleted),(data deleted),(data deleted)
8859594.9308619893,210.0,<Other>,<Other>,<Other>
4819495.8466668365,322.0,(direct),(none),(direct)
2808102.2330574481,517.0,(data deleted),(data deleted),(data deleted)
26822369.2318540291,249.0,google,organic,(organic)
48159916.2278332378,284.0,google,organic,(organic)
1532927.6404323781,683.0,<Other>,<Other>,<Other>
3578162.0623899917,331.0,(direct),(none),(direct)
26064119.0281069258,678.0,<Other>,referral,(referral)
7134559299.4601048201,1200.0,(direct),(none),(direct)
39049984.4198737878,243.0,<Other>,referral,(referral)
2563148.0852215497,224.0,<Other>,<Other>,<Other>
6449198.2526522279,355.0,<Other>,<Other>,<Other>
3282203.4038192177,352.0,shop.googlemerchandisestore.com,referral,(referral)
3435332.1615492469,230.0,(direct),(none),(direct)
53709875.3635794172,353.0,shop.googlemerchandisestore.com,referral,(referral)
2608462.0797346127,304.0,(data deleted),(data deleted),(data deleted)
38120148.2885726823,223.0,(direct),(none),(direct)
3365134.0673833488,225.0,google,cpc,<Other>
40919582.2188794043,216.0,(direct),(none),(direct)
5637710.4936907752,452.0,<Other>,<Other>,<Other>
3291666.2185697988,216.0,<Other>,<Other>,<Other>
17453487.1522301419,223.0,<Other>,referral,(referral)
28624446.9980540301,322.0,<Other>,referral,(referral)
87326376.7596593080,212.0,google,organic,(organic)
49068184.0131644651,232.0,google,organic,(organic)
80208775.3915875119,406.0,(direct),(none),(direct)
66036121.7799299870,305.0,google,organic,(organic)
8889945.3857316896,246.0,<Other>,<Other>,<Other>
91694984.1982284598,461.0,google,organic,(organic)
50546952.1039923649,243.0,<Other>,<Other>,<Other>
88361744.4940705869,210.0,(direct),(none),(direct)
40652857.6013892710,300.0,<Other>,referral,(referral)
2897030438.4111142859,292.0,google,organic,(organic)
60695124.4742262801,1260.0,shop.googlemerchandisestore.com,referral,(referral)
50054690.0206427992,518.0,(direct),(none),(direct)
84288512.1820202145,484.0,google,cpc,<Other>
32985797.1699921045,245.0,<Other>,<Other>,<Other>
5776696.8626570449,236.0,google,organic,(organic)
52336592.9891124820,262.0,google,organic,(organic)
11276007.4623855146,529.0,google,organic,(organic)
58603767.6719650157,216.0,google,organic,(organic)
7534419.7933326516,231.0,(direct),(none),(direct)
80921507.1393350408,438.0,(direct),(none),(direct)
30675676.3150878065,424.0,google,cpc,<Other>
38420537.7216639441,354.0,<Other>,organic,(organic)
5945718.9383173023,354.0,(direct),(none),(direct)
7634543.7021985089,431.0,<Other>,<Other>,<Other>
1026932.0858862293,213.0,<Other>,<Other>,<Other>
10295267.8818269139,794.0,(direct),(none),(direct)
34490273.5966302679,264.0,<Other>,<Other>,<Other>
9431683.5830577678,396.0,(direct),(none),(direct)
36794743.0115266107,384.0,google,organic,(organic)
51216998.9738761037,242.0,<Other>,<Other>,<Other>
2660071.6760619641,466.0,(direct),(none),(direct)
78221431.2724111930,1049.0,(data deleted),(data deleted),(data deleted)
57065333.7001768225,295.0,google,cpc,<Other>
7688722.6706829800,233.0,(data deleted),(data deleted),(data deleted)
5113443.5387152232,858.0,shop.googlemerchandisestore.com,referral,(referral)
73714607.3371536902,377.0,google,organic,(organic)
8278411.7423220409,246.0,<Other>,<Other>,<Other>
5579434.4769739748,307.0,google,cpc,<Other>
7305312.0773204883,246.0,(direct),(none),(direct)
2819497.0596567487,225.0,google,organic,(organic)
59283995.2508616440,374.0,<Other>,referral,(referral)
14763691.5596383469,225.0,(direct),(none),(direct)
31825674.2113685011,336.0,google,organic,(organic)
27701936.3565936806,211.0,shop.googlemerchandisestore.com,referral,(referral)
67242982.0432343274,423.0,shop.googlemerchandisestore.com,referral,(referral)
7748359.5667737603,219.0,(direct),(none),(direct)
82604808.5833749347,214.0,<Other>,<Other>,<Other>
61577291.2144566004,212.0,google,cpc,<Other>
13141816.1294900403,680.0,google,cpc,<Other>
1160488.2375923167,305.0,(direct),(none),(direct)
3099934.0263391283,404.0,shop.googlemerchandisestore.com,referral,(referral)
41904644.7032979505,246.0,google,organic,(organic)
3381037907.7217581644,374.0,shop.googlemerchandisestore.com,referral,(referral)
1663781.3078124746,361.0,google,cpc,<Other>
7125962.1798454198,208.0,google,organic,(organic)
84534898.7989426950,252.0,<Other>,organic,(organic)
92422851.0520335541,242.0,shop.googlemerchandisestore.com,referral,(referral)
3402018.0291081671,240.0,google,organic,(organic)
5516326.8444687928,230.0,<Other>,referral,(referral)
31556860.5592810420,376.0,<Other>,<Other>,<Other>
8673800.8985723616,342.0,(direct),(none),(direct)
68441141.3197623367,254.0,google,organic,(organic)
2095299.8404862362,483.0,(direct),(none),(direct)
73497675.9720954301,294.0,(direct),(none),(direct)
6596516.5623513414,207.0,<Other>,<Other>,<Other>
48482961.7353796273,240.0,(direct),(none),(direct)
74351856.8000104870,223.0,<Other>,<Other>,<Other>
8635951.7155332526,484.0,(direct),(none),(direct)
8822878673.4974906772,398.0,(direct),(none),(direct)
2992162.7816495834,300.0,<Other>,referral,(referral)
73478648.4870101641,208.0,(direct),(none),(direct)
63264809.7446857295,544.0,(direct),(none),(direct)
16291219.8111422394,325.0,shop.googlemerchandisestore.com,referral,(referral)
70274582.7964868916,370.0,google,organic,(organic)
9134268.2677185739,298.0,<Other>,organic,(organic)
70285128.0156104398,202.0,<Other>,<Other>,<Other>
99387700.1672480666,817.0,(data deleted),(data deleted),(data deleted)
3216886.8311598059,305.0,google,organic,(organic)
58881820.3673642140,393.0,<Other>,referral,(referral)
3231609.9615457151,249.0,google,organic,(organic)
41025522.7163055341,676.0,google,organic,(organic)
70587803.9229757124,239.0,(direct),(none),(direct)
5766379.6658996628,600.0,google,organic,(organic)
