user_id,transaction_date,order_id,order_revenue
83812359.6098055338,2021-01-30,217497,70.0
4661274.4897769266,2021-01-30,965792,28.0
17220615.7365298752,2021-01-30,715067,28.0
13514937.5999371679,2021-01-30,966169,17.0
75363582.3498268228,2021-01-30,866619,16.0
1181271.2559991025,2021-01-29,892022,70.0
71840844.1071904695,2021-01-29,516774,48.0
53447288.4859183003,2021-01-29,880566,33.0
56713607.9805564965,2021-01-29,73175,30.0
53286533.3814661403,2021-01-29,99076,5.0
5913248.4085121546,2021-01-29,524324,4.0
4199051.4595175442,2021-01-28,148668,78.0
83571720.7492955192,2021-01-28,953002,19.0
10771534.1107960558,2021-01-28,1495,14.0
31534674.8755593671,2021-01-28,974472,13.0
68848831.9499415626,2021-01-28,121849,4.0
4537449.6402312251,2021-01-27,593171,168.0
24216413.3568094065,2021-01-27,930914,70.0
64681465.6816600292,2021-01-27,551193,70.0
4974239.1610363322,2021-01-27,521462,29.0
2291182.3518179459,2021-01-27,978626,21.0
2342971.6074063060,2021-01-27,935178,19.0
56085302.1633432749,2021-01-27,472244,17.0
27863624.7256240425,2021-01-27,35703,16.0
43167694.9021346768,2021-01-27,568554,16.0
5107382543.8207680939,2021-01-27,934793,16.0
39049984.4198737878,2021-01-27,427421,10.0
64369991.1110095428,2021-01-27,903143,5.0
8816916.6059271167,2021-01-26,669194,165.0
17723870.8339931689,2021-01-26,735564,144.0
22758259.7142181160,2021-01-26,36527,119.0
3612440628.1896153694,2021-01-26,900477,98.0
3877486.7761649558,2021-01-26,216424,87.0
1076048999.1524631135,2021-01-26,560364,82.0
8252618717.0494009861,2021-01-26,824059,82.0
5309497742.4560578847,2021-01-26,315802,68.0
2552499.2967992898,2021-01-26,397799,58.0
15883357.2519845193,2021-01-26,226125,55.0
45237746.5667441680,2021-01-26,808608,55.0
2280241.7950036696,2021-01-26,441252,38.0
61771796.6934450948,2021-01-26,594371,38.0
8922626.4347602444,2021-01-26,440065,31.0
16093880.9382962150,2021-01-26,870052,26.0
77935609.6554925875,2021-01-26,925196,25.0
7127030.2823157340,2021-01-26,150285,24.0
5184896.7773934801,2021-01-26,339125,21.0
50884028.1034896087,2021-01-26,910245,12.0
8922626.4347602444,2021-01-26,248274,11.0
8808706.6279424881,2021-01-26,370396,10.0
57736746.4807313510,2021-01-26,907996,10.0
2766869.1150503520,2021-01-25,666996,194.0
7191442.1007439176,2021-01-25,798150,182.0
2569739.8101031899,2021-01-25,137405,162.0
3064545.2019467351,2021-01-25,675833,157.0
24730584.3649999643,2021-01-25,180431,141.0
8635951.7155332526,2021-01-25,941480,114.0
5857016.5621861575,2021-01-25,408905,111.0
4318527027.1396086358,2021-01-25,863841,109.0
1282829.2912367074,2021-01-25,172236,104.0
82769036.0910249611,2021-01-25,64509,98.0
18999567.7932809446,2021-01-25,92026,91.0
1521415006.8547838009,2021-01-25,793904,89.0
4003292.1841257318,2021-01-25,996685,86.0
8319735.2431028247,2021-01-25,913056,85.0
5555029.1780152336,2021-01-25,129572,85.0
85716296.2746032609,2021-01-25,598458,84.0
1806399.4725727058,2021-01-25,114188,82.0
84172914.5775541079,2021-01-25,33911,80.0
99826321.7020196151,2021-01-25,533525,76.0
8635951.7155332526,2021-01-25,10177,74.0
8635951.7155332526,2021-01-25,60577,74.0
8635951.7155332526,2021-01-25,166593,74.0
62257296.4539268322,2021-01-25,265343,62.0
53782595.8677191987,2021-01-25,289227,61.0
1394102.7869033217,2021-01-25,577976,58.0
6408056.9668435806,2021-01-25,682443,55.0
5820769.2126830378,2021-01-25,277428,52.0
72935275.0852612888,2021-01-25,818147,51.0
6994218673.7734712667,2021-01-25,61931,47.0
4164125.0295010106,2021-01-25,789985,44.0
2190489673.9207557312,2021-01-25,802900,44.0
67504810.2599834553,2021-01-25,907709,43.0
2393244.2245274301,2021-01-25,995983,41.0
2588693.4592272163,2021-01-25,645226,35.0
5395593.7397446796,2021-01-25,773926,35.0
80818976.3243168408,2021-01-25,183247,32.0
8626279.3419238923,2021-01-25,19417,32.0
6685051.1345603732,2021-01-25,947157,31.0
4551273.9026395419,2021-01-25,277339,27.0
12545442.9053678590,2021-01-25,801233,22.0
13947818.2704676156,2021-01-25,640195,22.0
41930655.1128174119,2021-01-25,240433,22.0
29339544.5051604260,2021-01-25,156089,21.0
10543466.9758583606,2021-01-25,313428,21.0
18436463.4630313750,2021-01-25,189218,20.0
4532388276.8030432251,2021-01-25,452854,19.0
88676986.2845052562,2021-01-25,623911,19.0
2798934.1669190108,2021-01-25,373699,17.0
90281510.6560674856,2021-01-25,218583,17.0
3656062.7172376657,2021-01-25,940189,16.0
65858286.2730201992,2021-01-25,717540,16.0
5416604749.0858960731,2021-01-25,156989,14.0
31417474.8321346201,2021-01-25,503558,5.0
40652857.6013892710,2021-01-24,718959,300.0
78331614.5702890138,2021-01-24,274558,236.0
4229717.4815659011,2021-01-24,705983,209.0
6486077.9466352381,2021-01-24,131978,140.0
7528571.7813360805,2021-01-24,525656,106.0
7581292.6376201300,2021-01-24,19596,104.0
68948805.5649073366,2021-01-24,195381,97.0
11383596.2291019550,2021-01-24,473533,94.0
4040287.7226508684,2021-01-24,314619,92.0
3519862.5500955315,2021-01-24,151824,85.0
4244063.5746229815,2021-01-24,221720,80.0
6529983.5567562804,2021-01-24,228605,79.0
8635951.7155332526,2021-01-24,594908,74.0
8635951.7155332526,2021-01-24,162501,74.0
72883375.0508388309,2021-01-24,693032,56.0
5817047.8350669320,2021-01-24,172750,55.0
7134697.0673803211,2021-01-24,887906,55.0
18222174.8869767431,2021-01-24,102593,55.0
44550490.2728862693,2021-01-24,897667,48.0
4059472.8389313570,2021-01-24,754040,44.0
8874942.8045385315,2021-01-24,823509,41.0
8272346.3449861049,2021-01-24,831673,30.0
5023092.7188978811,2021-01-24,281940,29.0
6071043.7718608798,2021-01-24,723997,26.0
15783578.7353536093,2021-01-24,145892,25.0
2884152188.9848456767,2021-01-24,515532,24.0
8994558.9516186481,2021-01-24,975156,22.0
23023007.7963340657,2021-01-24,567312,22.0
59995715.3236223993,2021-01-24,585118,22.0
8857034.7328471275,2021-01-24,801516,21.0
3934622.2644661987,2021-01-24,938924,21.0
6907870.6816785534,2021-01-24,156625,16.0
50131723.8552639593,2021-01-24,276575,13.0
94722330.1370120530,2021-01-24,166254,13.0
6449198.2526522279,2021-01-23,495226,355.0
28916400.9213822241,2021-01-23,399799,239.0
2563148.0852215497,2021-01-23,299925,224.0
16040805.0993914136,2021-01-23,962801,148.0
6959572.6784709792,2021-01-23,153000,123.0
17092913.6445812691,2021-01-23,779849,122.0
2380209.7776903294,2021-01-23,588450,102.0
55689084.7063063065,2021-01-23,266619,100.0
1852882.2812416843,2021-01-23,85118,99.0
11352452.9423487904,2021-01-23,316271,90.0
9039571.9454436357,2021-01-23,860101,84.0
38807944.2775419825,2021-01-23,501790,84.0
12545442.9053678590,2021-01-23,363725,81.0
9133428.2538890525,2021-01-23,655377,81.0
3777881.8197329849,2021-01-23,477361,77.0
3903259.6420982880,2021-01-23,388331,77.0
49358925.4763310482,2021-01-23,764013,75.0
58413993.0257976234,2021-01-23,786547,63.0
4135762.6906668593,2021-01-23,646217,53.0
7842652.9637647224,2021-01-23,53728,44.0
16488643.1532840480,2021-01-23,38701,40.0
16239791.9542908331,2021-01-23,762182,38.0
43988972.6002488363,2021-01-23,560736,34.0
4205366.2704658968,2021-01-23,746811,33.0
89951518.2076537475,2021-01-23,778669,30.0
7427799618.0412814438,2021-01-23,969988,27.0
7146886.8539557844,2021-01-23,563910,24.0
5184896.7773934801,2021-01-23,594526,21.0
8905528.1510934754,2021-01-23,685028,21.0
44546067.0576823511,2021-01-23,255261,20.0
33636503.5000871312,2021-01-23,814023,18.0
8280779440.9996140364,2021-01-23,672214,18.0
58494000.3106433806,2021-01-23,494891,16.0
5106767.9563243336,2021-01-23,562639,16.0
6724688.1020387197,2021-01-23,839020,14.0
97146775.1973953571,2021-01-23,578541,14.0
6724688.1020387197,2021-01-23,464152,10.0
24202040.2600884676,2021-01-23,878670,10.0
